isbn13,title,author,cover_url,saved_path,status
9780439554930,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",https://covers.openlibrary.org/b/isbn/9780439554930-L.jpg,covers/9780439554930.jpg,ok_openlibrary
9780316015840,"Twilight (Twilight, #1)",Stephenie Meyer,,,not_found
9780743273560,The Great Gatsby,F. Scott Fitzgerald,,,not_found
9780525478810,The Fault in Our Stars,John Green,,,not_found
9780439023480,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,,,not_found
9780061120080,To Kill a Mockingbird,Harper Lee,,,not_found
9780316769170,The Catcher in the Rye,J.D. Salinger,,,not_found
9780679783270,Pride and Prejudice,Jane Austen,,,not_found
9780062024040,"Divergent (Divergent, #1)",Veronica Roth,,,not_found
9781594480000,The Kite Runner,Khaled Hosseini,,,not_found
9781416524790,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,,,not_found
9780451524940,1984,"George Orwell, Erich Fromm, Celâl Üster",,,not_found
9780452284240,Animal Farm,George Orwell,,,not_found
9780307269750,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",,,not_found
9780553296980,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",,,not_found
9780439023500,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,,,not_found
9780618346260,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,,,not_found
9780439023510,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,,,not_found
9780439655480,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",,,not_found
9780439358070,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",,,not_found
9780618260300,The Hobbit,J.R.R. Tolkien,https://covers.openlibrary.org/b/isbn/9780618260300-L.jpg,covers/9780618260300.jpg,ok_openlibrary
9780316166680,The Lovely Bones,Alice Sebold,,,not_found
9780439139600,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",,,not_found
9780545010220,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",,,not_found
9780743477120,Romeo and Juliet,"William Shakespeare, Robert           Jackson",http://books.google.com/books/content?id=v-mvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780743477120.jpg,ok_googlebooks
9780439064870,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",,,not_found
9780439785970,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",,,not_found
9780140283330,Lord of the Flies,William Golding,,,not_found
9780307277670,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,,,not_found
9780297859380,Gone Girl,Gillian Flynn,,,not_found
9780399155340,The Help,Kathryn Stockett,,,not_found
9781612130290,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,,,not_found
9780061122420,The Alchemist,"Paulo Coelho, Alan R. Clarke",,,not_found
9780553588480,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,,,not_found
9780143038410,"Eat, Pray, Love",Elizabeth Gilbert,,,not_found
9780770430080,Life of Pi,Yann Martel,http://books.google.com/books/content?id=45iTIbtOeN4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780770430080.jpg,ok_googlebooks
9780786838650,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,,not_found
9780739326220,Memoirs of a Geisha,Arthur Golden,https://covers.openlibrary.org/b/isbn/9780739326220-L.jpg,covers/9780739326220.jpg,ok_openlibrary
9780142000670,Of Mice and Men,John Steinbeck,https://covers.openlibrary.org/b/isbn/9780142000670-L.jpg,covers/9780142000670.jpg,ok_openlibrary
9780060764890,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,https://covers.openlibrary.org/b/isbn/9780060764890-L.jpg,covers/9780060764890.jpg,ok_openlibrary
9780451529300,"Little Women (Little Women, #1)",Louisa May Alcott,,,not_found
9780385732550,"The Giver (The Giver, #1)",Lois Lowry,https://covers.openlibrary.org/b/isbn/9780385732550-L.jpg,covers/9780385732550.jpg,ok_openlibrary
9781416914280,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,https://covers.openlibrary.org/b/isbn/9781416914280-L.jpg,covers/9781416914280.jpg,ok_openlibrary
9781565125600,Water for Elephants,Sara Gruen,,,not_found
9780965818670,The Time Traveler's Wife,Audrey Niffenegger,,,not_found
9780142437210,Jane Eyre,"Charlotte Brontë, Michael Mason",,,not_found
9780553816720,"The Notebook (The Notebook, #1)",Nicholas Sparks,,,not_found
9780375831000,The Book Thief,Markus Zusak,,,not_found
9780307347980,Fahrenheit 451,Ray Bradbury,,,not_found
9780316160190,"New Moon (Twilight, #2)",Stephenie Meyer,,,not_found
9780345391800,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,http://books.google.com/books/content?id=ogWNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780345391800.jpg,ok_googlebooks
9780060929880,Brave New World,Aldous Huxley,http://books.google.com/books/content?id=ebafTy9iAq4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780060929880.jpg,ok_googlebooks
9780316160210,"Eclipse (Twilight, #3)",Stephenie Meyer,,,not_found
9780316067930,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,,,not_found
9780375826700,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,,,not_found
9780142001740,The Secret Life of Bees,Sue Monk Kidd,,,not_found
9780142437180,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",,,not_found
9780064410940,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",,,not_found
9781594633670,The Girl on the Train,Paula Hawkins,,,not_found
9780679879240,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,,,not_found
9781400032720,The Curious Incident of the Dog in the Night-Time,Mark Haddon,,,not_found
9780743454540,My Sister's Keeper,Jodi Picoult,,,not_found
9780060513030,Where the Sidewalk Ends,Shel Silverstein,https://covers.openlibrary.org/b/isbn/9780060513030-L.jpg,covers/9780060513030.jpg,ok_openlibrary
9780393978900,Wuthering Heights,"Emily Brontë, Richard J. Dunn",,,not_found
9780446675540,Gone with the Wind,Margaret Mitchell,,,not_found
9780385333850,Slaughterhouse-Five,Kurt Vonnegut Jr.,,,not_found
9780671027350,The Perks of Being a Wallflower,Stephen Chbosky,,,not_found
9780812550700,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,,,not_found
9780007442910,"Insurgent (Divergent, #2)",Veronica Roth,,,not_found
9781594489500,A Thousand Splendid Suns,Khaled Hosseini,,,not_found
9780141439470,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",,,not_found
9780141439660,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",http://books.google.com/books/content?id=P2h8CtM-pFEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780141439660.jpg,ok_googlebooks
9780450040180,The Shining (The Shining #1),Stephen King,,,not_found
9780316068050,"The Host (The Host, #1)",Stephenie Meyer,,,not_found
9780142402510,Looking for Alaska,John Green,,,not_found
9780143039950,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",,,not_found
9780156012200,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",,,not_found
9780307275550,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,,,not_found
9780743247540,The Glass Castle,Jeannette Walls,,,not_found
9780385486800,Into the Wild,Jon Krakauer,,,not_found
9780142414930,Paper Towns,John Green,http://books.google.com/books/content?id=uEGLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780142414930.jpg,ok_googlebooks
9780140385720,The Outsiders,S.E. Hinton,http://books.google.com/books/content?id=rB1PDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780140385720.jpg,ok_googlebooks
9780307348140,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,,,not_found
9780060256650,The Giving Tree,Shel Silverstein,,,not_found
9780385338610,A Time to Kill,John Grisham,,,not_found
9780374500020,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",,,not_found
9780345418260,The Princess Bride ,William Goldman,,,not_found
,Bossypants,Tina Fey,,,not_found
9780061234000,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",,,not_found
9780141439600,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",https://covers.openlibrary.org/b/isbn/9780141439600-L.jpg,covers/9780141439600.jpg,ok_openlibrary
9780385737940,"The Maze Runner (Maze Runner, #1)",James Dashner,,,not_found
9780517189600,The Secret Garden,Frances Hodgson Burnett,,,not_found
9780375751520,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",,,not_found
9780345803500,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,,,not_found
9780060531040,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",,,not_found
9780140280100,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,http://books.google.com/books/content?id=TtICU0gJan4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780140280100.jpg,ok_googlebooks
9780393970130,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",,,not_found
